"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","ONI","ONI_C","ONI_sub","semeadura","ano_semeadura","colheita","ano_colheita","anom.1","anom.2","anom.3","anom.4","anom.5","anom.6","fo_grupo","fs_grupo","predito"
"418",419,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Uirapuru","p",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"419",420,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","Marhe","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"420",421,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Campos Gerais","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"421",422,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Curi<f3>","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"422",423,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Bem-te-vi","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"423",424,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 204 Predileto","p",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"424",425,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFc 9","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"425",426,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Quero-quero","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"426",427,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Estilo","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"427",428,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FP 403","p",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"428",429,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Sabi<e1>","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"429",430,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1850","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"430",431,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC Veloz","p",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"431",432,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFp119","p",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"432",433,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","TAA Dama","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"433",434,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 402","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"434",435,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Urutau","p",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"435",436,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Esteio","p",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"436",437,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1849","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"437",438,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 104","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"438",439,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Tuiui<fa>","p",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"439",440,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","GEN 49-4-4 DA 940","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"440",441,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Tangar<e1>","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"441",442,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 205 Riqueza","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"442",443,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 2051","chc",4,2020-12-15,2021-03-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,99","La Niña","LNW","D",2020,"M",2021,0.5,-1.27,-1.19,-0.93,-0.84,-0.66,"Tolerante","Tolerante","La Nina"
"443",444,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","IPR 139","chc",1,2013-12-18,2014-03-18,"13/14",0.1,NA,0.1,NA,0.1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"444",445,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","ANFc 5","chc",2,2013-12-18,2014-03-18,"13/14",0.1,NA,0.1,NA,0.1,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"445",446,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","ANFc 9","chc",2,2013-12-18,2014-03-18,"13/14",0.1,NA,0.1,NA,0.1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"446",447,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","IPR Campos Gerais","chc",2,2013-12-18,2014-03-18,"13/14",0.1,NA,0.1,NA,0.1,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"447",448,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","IPR Uirapuru","p",2,2013-12-18,2014-03-18,"13/14",0.1,NA,0.1,NA,0.1,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"448",449,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","Bola Cheia","chc",2,2013-12-18,2014-03-18,"13/14",0.2,NA,0.1,NA,0.1,0.1,0.3,NA,NA,0.1,NA,0.1,0.1,0.2,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Muito Tolerante","Neutro"
"449",450,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","BRS Campeiro","p",2,2013-12-18,2014-03-18,"13/14",0.1,NA,0.1,NA,0.1,0.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"450",451,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","IPR Juriti","chc",2,2013-12-18,2014-03-18,"13/14",0.1,NA,0.1,NA,0.1,0.1,0.2,NA,NA,0.1,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Muito Tolerante","Neutro"
"451",452,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","IPR Andorinha","chc",3,2013-12-18,2014-03-18,"13/14",0.3,NA,0.3,NA,0.5,0.5,0.5,NA,NA,0.1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"452",453,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","IPR Andorinha","chc",4,2013-12-18,2014-03-18,"13/14",0.1,NA,0.2,NA,0.2,0.2,0.2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"-0,258333333333333","Neutro","Neutro","D",2013,"M",2014,-0.43,-0.17,-0.27,-0.46,-0.27,0.04,"Muito Tolerante","Tolerante","Neutro"
"453",454,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",1,2014-12-15,2015-03-15,"14/15",0.2,0.4,0.8,2.8,NA,8.6,NA,NA,NA,0.2,0.2,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,"0,591666666666667","El Niño","ENW","D",2014,"M",2015,-0.42,0.64,0.66,0.47,0.53,0.7,"Tolerante","Muito Tolerante","Neutro"
"454",455,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM  Awauna","p",1,2014-12-15,2015-03-15,"14/15",0.2,0.2,0.2,0.2,NA,4,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,591666666666667","El Niño","ENW","D",2014,"M",2015,-0.42,0.64,0.66,0.47,0.53,0.7,"Muito Tolerante","Tolerante","Neutro"
"455",456,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Andorinha","chc",2,2014-12-15,2015-03-15,"14/15",0.4,0.8,1.6,2,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,591666666666667","El Niño","ENW","D",2014,"M",2015,-0.42,0.64,0.66,0.47,0.53,0.7,"Tolerante","Tolerante","Neutro"
"456",457,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",2,2014-12-15,2015-03-15,"14/15",0.2,0.2,0.2,0.6,NA,3,NA,NA,NA,0.2,0.4,NA,1,NA,NA,NA,NA,NA,NA,NA,"0,591666666666667","El Niño","ENW","D",2014,"M",2015,-0.42,0.64,0.66,0.47,0.53,0.7,"Muito Tolerante","Muito Tolerante","Neutro"
"457",458,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Juriti","chc",2,2014-12-15,2015-03-15,"14/15",0.2,NA,NA,NA,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2,0.2,0.4,NA,NA,NA,NA,NA,"0,591666666666667","El Niño","ENW","D",2014,"M",2015,-0.42,0.64,0.66,0.47,0.53,0.7,"Muito Tolerante","Muito Tolerante","Neutro"
"458",459,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Andorinha","chc",3,2014-12-15,2015-03-15,"14/15",0.4,1.6,1.6,1.8,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,591666666666667","El Niño","ENW","D",2014,"M",2015,-0.42,0.64,0.66,0.47,0.53,0.7,"Tolerante","Tolerante","Neutro"
"459",460,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","45/57-7-3-1/4","chc",1,2015-12-14,2016-03-13,"15/16",0.2,0.2,0.2,1.2,1.8,NA,NA,NA,NA,0.2,0.2,1.2,1.2,1.2,1.2,1.2,2.4,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Tolerante","El Nino"
"460",461,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",1,2015-12-14,2016-03-13,"15/16",0.2,0.2,1,1.8,2,NA,NA,NA,NA,0.8,1.8,2.4,2.4,2.4,2.4,2.4,3.4,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Tolerante","El Nino"
"461",462,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",1,2015-12-14,2016-03-13,"15/16",0.4,0.4,1.3,3,3,NA,NA,NA,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Tolerante","Muito Tolerante","El Nino"
"462",463,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tangar<e1>","chc",2,2015-12-14,2016-03-13,"15/16",0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.6,0.6,2,2,2,2,2,4.8,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Tolerante","El Nino"
"463",464,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Mil<ea>nio","chc",2,2015-12-14,2016-03-13,"15/16",0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.2,0.8,0.8,0.8,1,2.6,NA,NA,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Tolerante","El Nino"
"464",465,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","FAP-F3-2","chc",2,2015-12-14,2016-03-13,"15/16",0.4,0.4,0.4,0.6,0.8,NA,NA,NA,NA,4,4.2,5.8,5.8,5.8,5.8,5.8,7.2,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Pouco Tolerante","El Nino"
"465",466,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","49/61-1/2","chc",2,2015-12-14,2016-03-13,"15/16",0.2,0.2,0.2,1,2,NA,NA,NA,NA,0.2,0.8,1,1.2,1.2,1.4,1.4,NA,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Tolerante","El Nino"
"466",467,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esplendor","p",2,2015-12-14,2016-03-13,"15/16",0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,6.8,8,8.8,8.8,8.8,8.8,8.8,9.6,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Pouco Tolerante","El Nino"
"467",468,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",3,2015-12-14,2016-03-13,"15/16",0.2,0.2,0.2,0.8,0.8,NA,NA,NA,NA,4.4,4.6,5,5,5,5,5,6.8,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Pouco Tolerante","El Nino"
"468",469,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Awauna","p",3,2015-12-14,2016-03-13,"15/16",0.6,0.6,0.6,1.4,2,NA,NA,NA,NA,1,1,1,1.2,1.2,1.2,1.2,4.2,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Tolerante","El Nino"
"469",470,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","Bola Cheia","chc",4,2015-12-14,2016-03-13,"15/16",0.2,0.2,0.2,0.4,0.8,NA,NA,NA,NA,0.2,0.2,0.4,0.4,0.4,2.6,NA,NA,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Tolerante","El Nino"
"470",471,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tuiui<fa>","p",4,2015-12-14,2016-03-13,"15/16",0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,3.4,NA,NA,NA,NA,"2,05833333333333","El Niño","ENVS","D",2015,"M",2016,0.55,2.57,2.64,2.14,1.58,0.94,"Muito Tolerante","Muito Tolerante","El Nino"
"471",472,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Bola Cheia","chc",1,2017-12-15,2018-03-15,"17/18",0.2,1.5,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,1.5,1.5,1.5,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
"472",473,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esplendor","p",1,2017-12-15,2018-03-15,"17/18",0.1,0.4,0.4,NA,NA,NA,NA,NA,NA,0.8,1.5,3,4,4,4,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Tolerante","Neutro"
"473",474,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",1,2017-12-15,2018-03-15,"17/18",0.2,0.2,0.8,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,3,3,3,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
"474",475,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","GEN 107-14A-336","chc",1,2017-12-15,2018-03-15,"17/18",0.5,2.5,NA,NA,NA,NA,NA,NA,NA,0.1,0.8,1.5,2,2,2,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Tolerante","Tolerante","Neutro"
"475",476,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Netuno","p",1,2017-12-15,2018-03-15,"17/18",0.2,0.5,NA,NA,NA,NA,NA,NA,NA,0.5,1,1,1.5,1.5,1.5,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Tolerante","Neutro"
"476",477,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Quero-quero","chc",1,2017-12-15,2018-03-15,"17/18",0.1,0.5,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
"477",478,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Sabi<e1>","chc",1,2017-12-15,2018-03-15,"17/18",0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.1,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
"478",479,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tangar<e1>","chc",1,2017-12-15,2018-03-15,"17/18",0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,0.2,0.8,2,2,2,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Tolerante","Neutro"
"479",480,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tuiui<fa>","p",1,2017-12-15,2018-03-15,"17/18",0.2,0.5,0.5,NA,NA,NA,NA,NA,NA,0.2,0.2,1,1,1,NA,NA,NA,NA,NA,NA,"-0,796666666666667","La Niña","LNW","D",2017,"M",2018,-0.34,-0.84,-0.97,-0.85,-0.7,-0.5,"Muito Tolerante","Muito Tolerante","Neutro"
